TCR_id,labels,preds
103,0,0.820297301_0.000368885_0.005916378_0.009570010_0.041909065_0.000399679_0.014758212_0.000017898_0.011117170_0.000370502_0.001799751_0.001804792_0.091670312
520,0,0.991117358_0.000000377_0.000000112_0.002328106_0.000518824_0.000648974_0.000028490_0.000070331_0.000010992_0.000000494_0.004776306_0.000483064_0.000016613
680,3,0.033717606_0.000016859_0.000019423_0.961892068_0.000312811_0.001866010_0.000056991_0.000914761_0.000001928_0.000083771_0.000057780_0.000843506_0.000216395
1757,4,0.001113377_0.000044581_0.000101182_0.838149965_0.157113999_0.000579741_0.000252215_0.000007450_0.000019607_0.002464948_0.000060243_0.000049851_0.000042681
1762,4,0.004695106_0.000076608_0.000014006_0.039887168_0.950276315_0.002278998_0.000216079_0.000019448_0.000081377_0.000034293_0.000003566_0.000797706_0.001619359
900,3,0.000226274_0.000010876_0.000062126_0.995052040_0.004015545_0.000254004_0.000208594_0.000006776_0.000004797_0.000002892_0.000101758_0.000045937_0.000008407
2191,5,0.049161863_0.001103654_0.000038662_0.000850666_0.003877296_0.935598791_0.000747749_0.000273517_0.002378691_0.000345666_0.000427596_0.004966982_0.000228878
184,0,0.863551080_0.000022342_0.006619768_0.009578225_0.006923558_0.005665745_0.077133976_0.000043715_0.001058616_0.000686224_0.001500320_0.000728967_0.026487421
2615,12,0.000638952_0.000039075_0.000007176_0.000052243_0.001012368_0.000086876_0.000135108_0.000000743_0.000144423_0.000015676_0.000049534_0.000849992_0.996967852
2271,5,0.000198846_0.000017243_0.000000015_0.000234903_0.000123054_0.999386668_0.000004804_0.000000703_0.000003192_0.000000012_0.000000214_0.000008462_0.000021860
323,0,0.993982732_0.000027452_0.000000075_0.000060023_0.001955988_0.002669554_0.000026713_0.000000038_0.000036369_0.000000825_0.000235961_0.000944704_0.000059625
2092,5,0.000189732_0.002269522_0.000031201_0.000095647_0.000550185_0.996551871_0.000011793_0.000000557_0.000001082_0.000006599_0.000000248_0.000101099_0.000190502
675,3,0.011103652_0.000085757_0.000028804_0.967270494_0.017869338_0.000219968_0.001136382_0.000010662_0.000023448_0.001645253_0.000190149_0.000334255_0.000081957
907,3,0.000345621_0.000003174_0.000002475_0.985425055_0.012478032_0.000554710_0.000081226_0.000001940_0.000318426_0.000016403_0.000004570_0.000012229_0.000756073
840,3,0.000151040_0.000001919_0.010964157_0.968074560_0.015266413_0.000001036_0.005397120_0.000000741_0.000007711_0.000019094_0.000000398_0.000008149_0.000107597
