TCR_id,labels,preds
2343,6,0.000540975_0.004673884_0.000874256_0.001723618_0.001209970_0.000661556_0.987474978_0.000222752_0.001012836_0.000046283_0.000116632_0.000179444_0.001262753
1901,4,0.001961600_0.000007607_0.002189623_0.000884552_0.980990291_0.009503189_0.000001992_0.000080391_0.000065708_0.000093465_0.000082532_0.004024792_0.000114163
1806,4,0.000059882_0.000001828_0.000016516_0.000076028_0.999672055_0.000108447_0.000002961_0.000006767_0.000001089_0.000019197_0.000004671_0.000015589_0.000015084
1544,4,0.000120866_0.000088191_0.001195937_0.000582493_0.986877501_0.000346883_0.000434860_0.000107297_0.000619319_0.000018291_0.000171026_0.000021237_0.009416023
2168,5,0.001288786_0.000065839_0.000000542_0.000216012_0.000322907_0.997467518_0.000034701_0.000012821_0.000079777_0.000010414_0.000034056_0.000054071_0.000412532
1732,4,0.000515865_0.000306559_0.000205740_0.008560017_0.895371377_0.072653860_0.003023086_0.000161880_0.000442615_0.000221575_0.000128288_0.017274793_0.001134394
1059,4,0.004144957_0.000201859_0.001404503_0.000949513_0.982572556_0.000876729_0.000266858_0.000491268_0.000485221_0.000281389_0.000322167_0.001030516_0.006972494
222,0,0.934437394_0.001265315_0.000044031_0.002039213_0.006891653_0.046306800_0.000039446_0.000318900_0.000168669_0.000182678_0.000474955_0.007659598_0.000171418
1532,4,0.009478230_0.000341114_0.000701332_0.002324362_0.947206438_0.003276437_0.000834277_0.000034397_0.000062309_0.009460806_0.000042928_0.024019236_0.002218111
2313,5,0.003132550_0.004143228_0.000009814_0.001718993_0.000491116_0.987351358_0.000308642_0.000033080_0.000139960_0.000343708_0.000259882_0.000133821_0.001933826
2451,8,0.000068413_0.000000209_0.000004502_0.000002705_0.000068660_0.000004864_0.000003878_0.000006084_0.999788702_0.000001549_0.000004281_0.000044532_0.000001603
7,0,0.602001190_0.001284516_0.000229701_0.012540833_0.057437547_0.302130699_0.000848175_0.014819568_0.000185938_0.003767426_0.000068178_0.001139142_0.003547046
599,1,0.003142627_0.990656495_0.000003393_0.001341821_0.003182937_0.000652490_0.000028750_0.000532717_0.000001925_0.000096351_0.000093275_0.000036908_0.000230326
2450,8,0.008128467_0.000780352_0.000680367_0.004390668_0.001957174_0.002407094_0.000108152_0.000048930_0.976831079_0.000391742_0.001614530_0.000275331_0.002386220
556,1,0.000005861_0.997328043_0.000001282_0.002050546_0.000527466_0.000050338_0.000000214_0.000002620_0.000002063_0.000013548_0.000013055_0.000003155_0.000001903
390,0,0.999590099_0.000002041_0.000006913_0.000002669_0.000010496_0.000178661_0.000006343_0.000010606_0.000107940_0.000001799_0.000016933_0.000029769_0.000035727
1660,4,0.000318571_0.000010209_0.000761782_0.000290828_0.997449577_0.000614793_0.000020360_0.000023545_0.000005485_0.000042608_0.000017066_0.000253169_0.000191992
1012,3,0.004412474_0.001770334_0.000906934_0.905658662_0.024845593_0.020865647_0.002077141_0.001876795_0.003100958_0.001139365_0.006628032_0.026313130_0.000404988
350,0,0.993482411_0.000359991_0.000014562_0.000129802_0.000122739_0.002545136_0.000900739_0.000324500_0.000418083_0.000122980_0.000008785_0.001360907_0.000209399
223,0,0.955861390_0.000441238_0.000085062_0.007873255_0.004208263_0.026342941_0.000184100_0.000333031_0.000305920_0.000287716_0.000972601_0.001410836_0.001693673
723,3,0.000618754_0.000014287_0.000004578_0.997574627_0.001492325_0.000043119_0.000005942_0.000024818_0.000002663_0.000072769_0.000010244_0.000095060_0.000040697
1129,4,0.000207836_0.002256316_0.000872449_0.001410055_0.988686800_0.000159651_0.000370735_0.000201157_0.000254150_0.000407052_0.000468170_0.003916936_0.000788725
1629,4,0.078023106_0.000689153_0.001982479_0.027038857_0.313120127_0.054772202_0.002612055_0.006308773_0.000507656_0.000542948_0.004276953_0.372693449_0.137432322
1887,4,0.011434284_0.000095289_0.000674063_0.001197724_0.944381237_0.000280047_0.018603675_0.000044182_0.006047764_0.000292811_0.004833180_0.000340639_0.011775194
2139,5,0.000042291_0.000026637_0.000001301_0.000158773_0.000013492_0.999616861_0.000011307_0.000011482_0.000028301_0.000006031_0.000007665_0.000047306_0.000028430
1585,4,0.008973108_0.000581716_0.050414551_0.095845111_0.832659841_0.001014216_0.004693079_0.000185680_0.000361677_0.002623019_0.001414532_0.000063950_0.001169592
2415,7,0.000033035_0.000000431_0.000000056_0.000009837_0.000005022_0.000007356_0.000000370_0.999940634_0.000002386_0.000000338_0.000000251_0.000000076_0.000000179
2328,5,0.000684060_0.000003539_0.000008618_0.002422068_0.002477083_0.991356850_0.000220809_0.000029229_0.000051890_0.002021676_0.000012597_0.000564340_0.000147277
2057,4,0.000124643_0.000005887_0.000341011_0.000137820_0.981376708_0.000299406_0.000023567_0.000024756_0.000027531_0.000502220_0.000243602_0.014883962_0.002009001
1255,4,0.000100875_0.000056498_0.000886323_0.000034013_0.997658253_0.000904132_0.000052075_0.000017908_0.000070775_0.000031377_0.000009183_0.000040168_0.000138414
1419,4,0.000008137_0.000025035_0.000228933_0.000055520_0.997988582_0.000008077_0.000013060_0.000009988_0.000062101_0.000122116_0.000018132_0.001235513_0.000224911
