TCR_id,labels,preds
1466,0,0.988176107_0.000817259_0.002780966_0.003814004_0.000120578_0.003764899_0.000035696_0.000490386
1215,0,0.999730885_0.000247352_0.000006413_0.000000425_0.000002355_0.000008929_0.000003399_0.000000255
13,1,0.003354436_0.996526659_0.000018705_0.000081313_0.000001856_0.000003597_0.000000473_0.000012999
900,2,0.004869464_0.011035893_0.980179548_0.003228807_0.000240609_0.000060819_0.000284936_0.000099894
1403,0,0.996180654_0.000004537_0.000049615_0.000090623_0.000003955_0.000035615_0.003581694_0.000053388
2451,7,0.000277383_0.000128450_0.000004103_0.000002583_0.000002525_0.000186325_0.000004537_0.999394059
1756,0,0.987092853_0.000517030_0.002761804_0.001204437_0.002436050_0.002224408_0.003754282_0.000009181
2435,7,0.000037537_0.001393395_0.000027824_0.000152507_0.000000163_0.000051214_0.000000745_0.998336673
2535,5,0.000042156_0.000001842_0.000001270_0.000005991_0.000011323_0.999930501_0.000000381_0.000006661
1695,0,0.970241725_0.000776875_0.025451805_0.000780082_0.002097410_0.000149673_0.000439187_0.000063227
2403,4,0.000001168_0.000000042_0.000006804_0.000000003_0.999991059_0.000000009_0.000000982_0.000000003
373,1,0.000000110_0.999998212_0.000000003_0.000001225_0.000000001_0.000000132_0.000000194_0.000000100
1979,0,0.812737703_0.000899219_0.039871559_0.000040725_0.131601468_0.004265287_0.010510787_0.000073346
1363,0,0.979154229_0.015193143_0.004357392_0.000708564_0.000568405_0.000008523_0.000007613_0.000002145
2601,5,0.000011748_0.000002120_0.000007566_0.000001606_0.000000988_0.999972701_0.000002948_0.000000346
1757,0,0.590175629_0.000665420_0.408926129_0.000038812_0.000000783_0.000086637_0.000045979_0.000060640
1834,0,0.999415994_0.000003525_0.000376669_0.000000319_0.000025332_0.000076915_0.000044703_0.000056542
1632,0,0.956944585_0.005064102_0.003467237_0.000111876_0.012550328_0.002173557_0.019578410_0.000109774
2053,0,0.998525083_0.000402062_0.000141540_0.000013083_0.000000036_0.000007085_0.000909568_0.000001638
368,1,0.000157314_0.999824584_0.000005987_0.000000456_0.000001479_0.000000015_0.000010185_0.000000007
1671,0,0.969899356_0.012336421_0.017150158_0.000296156_0.000028174_0.000000724_0.000003643_0.000285393
724,2,0.018323449_0.000998716_0.980416119_0.000009730_0.000000254_0.000067071_0.000019852_0.000164755
292,1,0.000271619_0.999277055_0.000303221_0.000026030_0.000092364_0.000013335_0.000007347_0.000009025
791,2,0.003693380_0.000422887_0.994977415_0.000086455_0.000149983_0.000010712_0.000653269_0.000005861
876,2,0.000516201_0.000003655_0.998630166_0.000310866_0.000190878_0.000096519_0.000206668_0.000044982
656,2,0.001268228_0.000515510_0.997790694_0.000138919_0.000104666_0.000147746_0.000009421_0.000024811
209,1,0.000007598_0.999960184_0.000003074_0.000003301_0.000012584_0.000010782_0.000002297_0.000000249
964,2,0.000294590_0.000028018_0.999637961_0.000033497_0.000000213_0.000002339_0.000003082_0.000000223
1496,0,0.835258424_0.150327012_0.001951034_0.008537505_0.000433660_0.000006062_0.000043230_0.003443105
2540,5,0.000005720_0.000028816_0.000003171_0.000018303_0.000000194_0.999943256_0.000000261_0.000000317
1565,0,0.998359621_0.000048433_0.001169220_0.000275392_0.000000014_0.000047123_0.000099749_0.000000493
