TCR_id,labels,preds
1769,1,0.225781485_0.681918025_0.092300415
1114,1,0.105052151_0.864925504_0.030022301
1465,1,0.099167213_0.876510322_0.024322473
1205,1,0.096317470_0.720781982_0.182900533
1550,1,0.215274945_0.695714712_0.089010365
1741,1,0.060931779_0.813376904_0.125691354
1318,1,0.488071799_0.363412410_0.148515835
2037,1,0.065225959_0.899742782_0.035031199
1870,1,0.077422082_0.747215986_0.175361902
1282,1,0.037827723_0.937915027_0.024257194
2443,0,0.666045427_0.190207586_0.143746987
1489,1,0.031621691_0.932373047_0.036005210
1621,1,0.232127443_0.722006798_0.045865741
1780,1,0.332396209_0.584663630_0.082940109
1709,1,0.086896986_0.850342035_0.062760964
2081,2,0.042011686_0.031399660_0.926588655
2055,1,0.092063956_0.875459552_0.032476529
1676,1,0.151566535_0.362591416_0.485842109
2012,1,0.046763115_0.927303970_0.025932940
1514,1,0.069419488_0.862371802_0.068208687
1745,1,0.241169035_0.740561545_0.018269407
2477,0,0.524028957_0.276862770_0.199108258
1160,1,0.050658144_0.767569065_0.181772724
1369,1,0.099860556_0.776001930_0.124137536
1378,1,0.232296288_0.638658106_0.129045606
1572,1,0.040470585_0.886151314_0.073378138
1192,1,0.076611109_0.862385631_0.061003294
1290,1,0.197490156_0.443327427_0.359182447
1915,1,0.061790235_0.782404244_0.155805573
1301,1,0.068310618_0.804705858_0.126983494
1306,1,0.055832688_0.872522712_0.071644597
1566,1,0.088841580_0.856774747_0.054383636
1107,1,0.121589348_0.746076286_0.132334366
1423,1,0.086750172_0.847553194_0.065696545
2096,2,0.060406473_0.188425258_0.751168191
2202,2,0.212636948_0.225456625_0.561906457
1106,1,0.025730185_0.837203860_0.137065932
2272,2,0.118069172_0.465894878_0.416035891
1800,1,0.218435749_0.697508156_0.084056146
1376,1,0.032805521_0.918585300_0.048609264
1602,1,0.059929073_0.260987520_0.679083467
1653,1,0.204426423_0.536444545_0.259128958
1436,1,0.077393748_0.895476401_0.027129909
2254,2,0.180077836_0.324971437_0.494950712
1865,1,0.045983706_0.814039528_0.139976829
2292,2,0.036074013_0.080323681_0.883602262
1047,1,0.065738440_0.887849092_0.046412434
1254,1,0.137165457_0.845415711_0.017418770
1834,1,0.078357056_0.901312649_0.020330327
1754,1,0.040655609_0.935929418_0.023414977
1227,1,0.093632996_0.883301020_0.023066027
1545,1,0.111092493_0.766340196_0.122567400
1327,1,0.125740692_0.605629683_0.268629640
1594,1,0.212851286_0.536782861_0.250365824
1606,1,0.108076073_0.690131485_0.201792449
1896,1,0.411285073_0.440629244_0.148085639
1093,1,0.300420314_0.484245390_0.215334371
2454,0,0.842404902_0.087342508_0.070252702
1674,1,0.117392018_0.716083050_0.166524842
1395,1,0.111466229_0.842917442_0.045616314
1321,1,0.080801822_0.489453942_0.429744273
1622,1,0.236989021_0.675845981_0.087164991
1894,1,0.196740329_0.584173799_0.219085932
2199,2,0.277103901_0.273450583_0.449445546
1805,1,0.068872094_0.885993421_0.045134470
1413,1,0.106622264_0.562182665_0.331195086
2470,0,0.951384246_0.029967662_0.018648092
1677,1,0.371203601_0.530872166_0.097924195
1695,1,0.168127462_0.539552212_0.292320281
1359,1,0.061111223_0.834255457_0.104633331
2224,2,0.163759336_0.126165912_0.710074842
1832,1,0.101958163_0.710699499_0.187342376
1300,1,0.062602773_0.834433019_0.102964140
1246,1,0.078421220_0.894800007_0.026778786
1752,1,0.134190589_0.581583560_0.284225821
2095,2,0.104595415_0.266826123_0.628578484
1355,1,0.170784727_0.524039149_0.305176169
1856,1,0.096696563_0.879607260_0.023696195
1762,1,0.118685059_0.820020974_0.061293971
1781,1,0.045548905_0.827788234_0.126662821
1362,1,0.175937727_0.708099961_0.115962252
2449,0,0.677995682_0.216636121_0.105368264
1881,1,0.133309692_0.635779977_0.230910286
2049,1,0.146287963_0.837393343_0.016318714
1174,1,0.164762706_0.674761653_0.160475612
1724,1,0.149655849_0.745257914_0.105086252
1854,1,0.074735679_0.888012826_0.037251454
2425,0,0.742515087_0.218787462_0.038697492
1827,1,0.066092245_0.902996600_0.030911209
1788,1,0.145033345_0.824800432_0.030166268
2293,2,0.025007250_0.076199070_0.898793697
1742,1,0.368526101_0.562840044_0.068633862
2129,2,0.106046662_0.440580785_0.453372508
1552,1,0.119587921_0.805427611_0.074984521
1085,1,0.049505997_0.863621056_0.086872950
1913,1,0.142526746_0.755330443_0.102142751
2250,2,0.194299355_0.313900292_0.491800398
1424,1,0.097468324_0.825880110_0.076651491
1297,1,0.132467180_0.693246365_0.174286470
1574,1,0.116444856_0.606340647_0.277214587
1262,1,0.096478678_0.726433575_0.177087754
1744,1,0.050059434_0.916705132_0.033235468
1926,1,0.059909672_0.903244019_0.036846291
1510,1,0.518546641_0.240186304_0.241267085
