TCR_id,labels,preds
1584,1,0.106207542_0.751827180_0.141965255
2295,2,0.157667384_0.152356192_0.689976454
1366,1,0.105217256_0.848021984_0.046760790
1882,1,0.119711906_0.705117106_0.175170988
2122,2,0.089133829_0.037401613_0.873464584
1086,1,0.271468341_0.427276492_0.301255256
2111,2,0.071509525_0.032768220_0.895722210
2179,2,0.022105722_0.116226308_0.861667931
2311,2,0.133909002_0.050894540_0.815196455
2265,2,0.077781089_0.090864129_0.831354737
1997,1,0.104334377_0.835649312_0.060016371
1494,1,0.170761630_0.684213221_0.145025134
1125,1,0.112976231_0.691178322_0.195845455
1184,1,0.112509727_0.756564379_0.130925953
1519,1,0.036388412_0.878910482_0.084701151
1383,1,0.403799862_0.432015717_0.164184466
1508,1,0.168424964_0.680546463_0.151028588
2308,2,0.101161569_0.076960675_0.821877778
2246,2,0.113132097_0.085925922_0.800941944
1207,1,0.366489798_0.493271589_0.140238628
1238,1,0.055453025_0.851139665_0.093407355
1549,1,0.169750795_0.757872522_0.072376758
1257,1,0.030681804_0.866293907_0.103024282
1725,1,0.079498626_0.750993967_0.169507414
1827,1,0.058018446_0.834474206_0.107507363
1174,1,0.096886553_0.802361429_0.100751959
1356,1,0.123148166_0.597283602_0.279568285
1763,1,0.139965549_0.687982798_0.172051638
1186,1,0.037155785_0.896894932_0.065949321
1747,1,0.084780037_0.572998285_0.342221648
2183,2,0.284058094_0.073214509_0.642727375
1667,1,0.197257072_0.684345663_0.118397258
1709,1,0.202745393_0.618377745_0.178876817
2326,2,0.082946092_0.051447064_0.865606844
1961,1,0.027351065_0.923308253_0.049340654
1593,1,0.029152546_0.923772514_0.047074970
1333,1,0.402107000_0.442576945_0.155316085
2112,2,0.126481026_0.045976527_0.827542424
1064,1,0.527515411_0.353320450_0.119164161
1118,1,0.269692481_0.446646452_0.283661097
1340,1,0.053879630_0.917987287_0.028133197
1484,1,0.319496185_0.305726051_0.374777794
1322,1,0.066271298_0.852905095_0.080823712
1297,1,0.069334447_0.863171339_0.067494273
1730,1,0.150865957_0.582370818_0.266763210
1376,1,0.271018624_0.464472681_0.264508665
1870,1,0.035796423_0.815177143_0.149026483
1102,1,0.261268944_0.390709937_0.348021090
1996,1,0.058852404_0.732067645_0.209079921
1316,1,0.254198223_0.663477361_0.082324393
2152,2,0.289553910_0.053396787_0.657049358
2273,2,0.066094197_0.082373783_0.851532042
1312,1,0.193589061_0.459869772_0.346541196
1104,1,0.130273253_0.723356426_0.146370366
2451,0,0.824674726_0.054257479_0.121067740
1569,1,0.067244954_0.778868318_0.153886735
1358,1,0.327721626_0.406050324_0.266228110
1179,1,0.044789422_0.726674497_0.228536084
1648,1,0.206775934_0.733698606_0.059525546
1559,1,0.052561406_0.755012393_0.192426249
1502,1,0.197474584_0.714964211_0.087561153
1270,1,0.455511063_0.364717543_0.179771364
2047,1,0.032191578_0.927442491_0.040365927
1199,1,0.192250803_0.623938620_0.183810532
1097,1,0.242341295_0.471066505_0.286592215
1126,1,0.123582490_0.739354551_0.137062937
2053,1,0.062543258_0.905919015_0.031537719
1941,1,0.126549572_0.793545067_0.079905413
1282,1,0.021464452_0.947577953_0.030957585
2141,2,0.130883723_0.045064647_0.824051619
2119,2,0.169342786_0.091034375_0.739622891
2162,2,0.081581734_0.075423628_0.842994690
2241,2,0.030316712_0.037922647_0.931760669
1545,1,0.141143039_0.773994565_0.084862411
2170,2,0.056491658_0.103299119_0.840209246
1601,1,0.168987229_0.702956617_0.128056169
1357,1,0.107900418_0.721962512_0.170137048
1342,1,0.155552790_0.405165076_0.439282089
2259,2,0.026396241_0.103149325_0.870454490
1945,1,0.160017684_0.628843606_0.211138651
1084,1,0.104474306_0.538045526_0.357480198
1532,1,0.136736199_0.751465917_0.111797906
1624,1,0.316141814_0.340397030_0.343461186
1999,1,0.269314736_0.542071283_0.188613981
1777,1,0.040292740_0.558204114_0.401503086
1266,1,0.551248193_0.367122799_0.081628986
1550,1,0.064739622_0.821088076_0.114172280
2127,2,0.029325165_0.038237207_0.932437658
1940,1,0.073854111_0.677739263_0.248406604
2142,2,0.100327812_0.064277776_0.835394442
1711,1,0.210750267_0.540886104_0.248363644
1616,1,0.067803793_0.868560076_0.063636176
1637,1,0.060334884_0.692239821_0.247425303
2024,1,0.025139447_0.941152811_0.033707671
1090,1,0.218331203_0.509094298_0.272574574
1810,1,0.065852121_0.859604537_0.074543342
1987,1,0.116717100_0.827266574_0.056016348
1071,1,0.178555429_0.658577800_0.162866786
1995,1,0.065171055_0.889096558_0.045732342
2474,0,0.819919765_0.050381679_0.129698530
2289,2,0.049815055_0.043014836_0.907170177
1771,1,0.087640852_0.698665857_0.213693246
1399,1,0.097113326_0.766650796_0.136235893
2312,2,0.095671162_0.066308066_0.838020742
1573,1,0.083088517_0.790003717_0.126907796
1660,1,0.050693713_0.880435467_0.068870857
1381,1,0.323361427_0.486003548_0.190635026
1916,1,0.088494003_0.868649662_0.042856347
2159,2,0.086019278_0.092012450_0.821968257
1886,1,0.195609286_0.571072459_0.233318225
1472,1,0.116047211_0.549663544_0.334289283
2296,2,0.137243018_0.118241169_0.744515836
1191,1,0.061941899_0.883387029_0.054671019
2081,2,0.203966349_0.047479205_0.748554468
1658,1,0.075694904_0.821273625_0.103031442
1202,1,0.058041863_0.833492339_0.108465783
1482,1,0.153112799_0.626490831_0.220396310
1081,1,0.411682278_0.378840894_0.209476769
2441,0,0.894010127_0.034993824_0.070996113
1240,1,0.204210311_0.476563126_0.319226503
1756,1,0.183961734_0.530480504_0.285557777
1643,1,0.065137699_0.861669719_0.073192552
2222,2,0.066885673_0.033280659_0.899833739
1164,1,0.069328316_0.871553004_0.059118703
1258,1,0.046086080_0.843065500_0.110848434
1887,1,0.124186546_0.789556742_0.086256661
1635,1,0.095067963_0.784591496_0.120340563
1832,1,0.228107482_0.468544602_0.303347915
1752,1,0.220228538_0.582224846_0.197546542
1491,1,0.180655792_0.673226893_0.146117285
1060,1,0.103543453_0.820700645_0.075755924
1046,1,0.147212088_0.443539441_0.409248471
1746,1,0.148410350_0.634512961_0.217076689
1650,1,0.090890005_0.758460522_0.150649518
2072,2,0.161867067_0.097777285_0.740355670
1190,1,0.107132748_0.819631517_0.073235735
1727,1,0.169507384_0.636360049_0.194132477
1477,1,0.463244647_0.397174984_0.139580414
1292,1,0.096129261_0.751991093_0.151879609
1602,1,0.306106448_0.607256889_0.086636625
1363,1,0.271824896_0.422211796_0.305963278
2463,0,0.685794234_0.216693819_0.097511932
2099,2,0.140724674_0.101176731_0.758098602
2260,2,0.050345201_0.161257997_0.788396776
1481,1,0.172712520_0.453865737_0.373421699
2207,2,0.245516419_0.056952320_0.697531283
2205,2,0.105320729_0.072119929_0.822559297
1428,1,0.045733359_0.854121625_0.100144990
1478,1,0.319864213_0.449482590_0.230653211
1495,1,0.041281588_0.923468292_0.035250109
2199,2,0.108639576_0.101969838_0.789390564
1244,1,0.053594403_0.905864894_0.040540706
1597,1,0.142877325_0.729801834_0.127320856
1538,1,0.078757159_0.820416451_0.100826368
1920,1,0.075759903_0.829942167_0.094297938
2428,0,0.804667592_0.071881369_0.123451039
2184,2,0.224241123_0.078835256_0.696923673
2325,2,0.249227837_0.075405292_0.675366819
1564,1,0.045875784_0.831741452_0.122382805
1910,1,0.044846091_0.836036265_0.119117640
2123,2,0.134193331_0.039006636_0.826800048
1605,1,0.073670588_0.785290539_0.141038865
1547,1,0.072921105_0.814939976_0.112138905
1096,1,0.095968261_0.526849151_0.377182603
2049,1,0.110639133_0.860958576_0.028402312
1057,1,0.048599262_0.846043289_0.105357423
1779,1,0.091105655_0.581413329_0.327481002
1793,1,0.042866632_0.749475896_0.207657546
1307,1,0.212712780_0.620284736_0.167002469
2190,2,0.315971076_0.087287813_0.596741080
1753,1,0.253920287_0.516740322_0.229339451
1952,1,0.353165507_0.374349833_0.272484660
2305,2,0.144074112_0.109207138_0.746718764
1511,1,0.159120798_0.762988389_0.077890724
1599,1,0.160113454_0.667554677_0.172331974
1302,1,0.197326496_0.571767747_0.230905727
2253,2,0.065355137_0.101290382_0.833354473
2150,2,0.139710993_0.109358646_0.750930309
1437,1,0.056577671_0.892922521_0.050499797
1801,1,0.026155582_0.918397129_0.055447299
2256,2,0.016755776_0.102645315_0.880598903
2096,2,0.104792900_0.162634104_0.732573032
1275,1,0.195668980_0.650241196_0.154089898
1629,1,0.162199512_0.747405052_0.090395421
1255,1,0.037208050_0.842344463_0.120447420
2048,1,0.060765266_0.913801789_0.025432983
1467,1,0.132516623_0.577426255_0.290057153
2435,0,0.876611829_0.054751571_0.068636581
1864,1,0.065042347_0.771004558_0.163953111
1828,1,0.074456401_0.757857382_0.167686149
1881,1,0.149661377_0.776695907_0.073642679
2444,0,0.796741366_0.065875471_0.137383103
1466,1,0.091382340_0.766750395_0.141867250
2446,0,0.826134920_0.060519241_0.113345772
1888,1,0.186613217_0.584719539_0.228667229
1045,1,0.032693613_0.901517153_0.065789230
1279,1,0.039117124_0.853515983_0.107366882
2050,1,0.156070113_0.785890460_0.058039486
1649,1,0.143612266_0.716530561_0.139857158
1540,1,0.192881048_0.692108274_0.115010664
1195,1,0.099258095_0.721895814_0.178846046
2191,2,0.179083675_0.113758855_0.707157433
1079,1,0.362580121_0.515034437_0.122385457
2138,2,0.090530984_0.036516227_0.872952759
1374,1,0.118052848_0.805738330_0.076208815
2458,0,0.869738042_0.049275070_0.080986917
1293,1,0.066567309_0.772859812_0.160572946
1159,1,0.071201541_0.892260730_0.036537752
1042,1,0.095516004_0.540680945_0.363802940
1039,1,0.027082313_0.951495409_0.021422345
2323,2,0.068541989_0.018245464_0.913212538
1175,1,0.117113471_0.770448506_0.112438031
1914,1,0.066369645_0.823815286_0.109815009
1663,1,0.065962568_0.854566336_0.079471096
1123,1,0.091218047_0.813875794_0.094906203
2303,2,0.151242912_0.301482677_0.547274411
1029,1,0.030058239_0.886319935_0.083621800
1799,1,0.058820426_0.798934579_0.142245010
1546,1,0.048874352_0.929580212_0.021545477
2117,2,0.096988998_0.015946204_0.887064815
2447,0,0.764816999_0.061577752_0.173605233
1211,1,0.192120194_0.685106158_0.122773714
1829,1,0.105470687_0.692655921_0.201873422
1480,1,0.157873526_0.688503563_0.153622910
1362,1,0.193771347_0.595314682_0.210913971
2185,2,0.164950088_0.278142661_0.556907177
2472,0,0.791478693_0.085053839_0.123467445
1188,1,0.144288883_0.720848858_0.134862244
1762,1,0.126406014_0.520469606_0.353124380
1056,1,0.079318561_0.840580404_0.080101073
1350,1,0.126936972_0.685900271_0.187162772
1047,1,0.186668247_0.665748954_0.147582784
1062,1,0.054874361_0.871283710_0.073841982
1654,1,0.232184827_0.526914358_0.240900800
1496,1,0.105941236_0.672441363_0.221617296
1697,1,0.092468917_0.791308463_0.116222575
1685,1,0.072508290_0.778341711_0.149149984
1486,1,0.147732928_0.762160361_0.090106748
1614,1,0.515846968_0.354086429_0.130066663
1523,1,0.162688091_0.768005669_0.069306217
2473,0,0.824816883_0.036311433_0.138871670
1738,1,0.116932474_0.802802980_0.080264546
1298,1,0.319038540_0.429273039_0.251688451
1375,1,0.051617481_0.832305908_0.116076641
1954,1,0.134899586_0.756430566_0.108669765
1673,1,0.013851509_0.935830653_0.050317883
1488,1,0.466943949_0.404074132_0.128981918
2068,1,0.068338566_0.875259995_0.056401465
1917,1,0.017629663_0.968816280_0.013554081
1343,1,0.077348873_0.809409022_0.113242120
2460,0,0.811560094_0.030235210_0.158204734
2037,1,0.039620254_0.881633341_0.078746378
2445,0,0.849553347_0.085275233_0.065171376
2315,2,0.083044708_0.064872697_0.852082551
2036,1,0.043638561_0.929035366_0.027326083
1655,1,0.200622842_0.614298642_0.185078561
2264,2,0.083157301_0.114407025_0.802435696
1662,1,0.100037150_0.851075947_0.048886836
1178,1,0.098273657_0.855920553_0.045805778
1294,1,0.066658840_0.804924130_0.128417000
2468,0,0.829206049_0.061883602_0.108910464
1262,1,0.244328395_0.544562697_0.211108968
1713,1,0.202723548_0.402907073_0.394369423
2426,0,0.812622190_0.072110526_0.115267254
1439,1,0.078488991_0.877618551_0.043892518
1405,1,0.091880284_0.833469808_0.074649893
1139,1,0.049255855_0.860007524_0.090736583
1410,1,0.280316681_0.493732154_0.225951254
2206,2,0.167854875_0.050187159_0.781957984
1387,1,0.081214271_0.783193886_0.135591835
2144,2,0.249029249_0.028410787_0.722559988
2089,2,0.078337088_0.034553140_0.887109816
1311,1,0.129460260_0.714616835_0.155923024
1404,1,0.134211317_0.810408413_0.055380240
1515,1,0.092402808_0.767650545_0.139946669
1136,1,0.149446338_0.687602401_0.162951276
1715,1,0.076553240_0.530418515_0.393028259
1513,1,0.070582516_0.834052503_0.095365033
2115,2,0.036197510_0.167303532_0.796499014
1856,1,0.052279051_0.872859538_0.074861474
1106,1,0.034986675_0.929846168_0.035167236
2300,2,0.219096676_0.133816779_0.647086561
1745,1,0.118709937_0.798488557_0.082801461
1196,1,0.140549347_0.734191239_0.125259340
2077,2,0.119161278_0.067115791_0.813722968
2263,2,0.091590725_0.121935055_0.786474228
1246,1,0.049496990_0.870515883_0.079987079
1310,1,0.037166484_0.925598860_0.037234657
1790,1,0.045540232_0.767406106_0.187053680
2075,2,0.208536670_0.081107140_0.710356236
1412,1,0.075624354_0.865908325_0.058467325
