TCR_id,labels,preds
1041,1,0.000121763_0.999609053_0.000269164
2043,1,0.013133652_0.985203385_0.001662879
1664,1,0.010968653_0.957611620_0.031419631
1278,1,0.000065356_0.999653339_0.000281406
1186,1,0.000170748_0.999404430_0.000424899
2244,2,0.000042444_0.000065151_0.999892354
1769,1,0.081089243_0.813909650_0.105001085
1582,1,0.005052948_0.222313598_0.772633433
1960,1,0.182288170_0.413232625_0.404479206
1056,1,0.041194092_0.945339799_0.013466029
2460,0,0.653958082_0.278082073_0.067959875
2060,1,0.003784776_0.990251064_0.005964081
1099,1,0.046766963_0.172139421_0.781093597
1992,1,0.000873730_0.996793807_0.002332465
1909,1,0.001307182_0.998174906_0.000517918
1141,1,0.000669957_0.998027146_0.001302906
1869,1,0.004751724_0.993276596_0.001971673
1987,1,0.000387037_0.998629093_0.000983927
2111,2,0.000054769_0.000241967_0.999703228
2185,2,0.037528891_0.104494862_0.857976258
1871,1,0.000954969_0.995839715_0.003205403
1507,1,0.001798437_0.961636841_0.036564715
1580,1,0.006018369_0.978100896_0.015880747
1522,1,0.000537267_0.998357475_0.001105319
1488,1,0.220348015_0.706533194_0.073118813
2000,1,0.028123848_0.918738306_0.053137857
2196,2,0.010276189_0.038314048_0.951409698
2184,2,0.021717269_0.860405445_0.117877230
1253,1,0.000114547_0.999533415_0.000352075
2243,2,0.000091663_0.000142587_0.999765813
1683,1,0.187142536_0.687315941_0.125541538
2163,2,0.002354616_0.030503962_0.967141390
2133,2,0.205887124_0.025477340_0.768635511
2260,2,0.005710367_0.003298594_0.990990996
1685,1,0.000239169_0.998207450_0.001553319
1341,1,0.012552496_0.002619635_0.984827876
1190,1,0.347772270_0.348101556_0.304126143
1334,1,0.000895724_0.998900652_0.000203588
2051,1,0.004120287_0.994387567_0.001492030
2298,2,0.049812336_0.419363111_0.530824602
1699,1,0.000114275_0.999285161_0.000600592
2474,0,0.988227904_0.009724509_0.002047606
1391,1,0.006866135_0.992232203_0.000901680
1109,1,0.010418407_0.982941091_0.006640492
2084,2,0.000297352_0.002851048_0.996851623
1607,1,0.040231891_0.940712094_0.019055979
2005,1,0.018008158_0.966506779_0.015485129
1475,1,0.005798570_0.938756704_0.055444699
1118,1,0.476208776_0.350293636_0.173497573
2131,2,0.002583256_0.012584114_0.984832585
1690,1,0.000847475_0.961842895_0.037309609
1941,1,0.004400470_0.984343052_0.011256434
1602,1,0.002767260_0.971085668_0.026147012
2027,1,0.010633957_0.973921716_0.015444318
1920,1,0.000607855_0.996096671_0.003295553
1541,1,0.000642474_0.997434795_0.001922821
1212,1,0.000373602_0.998727262_0.000899126
1823,1,0.000302596_0.998815656_0.000881834
1142,1,0.000730201_0.998008072_0.001261677
1378,1,0.190629423_0.502853990_0.306516647
1616,1,0.000104817_0.999706447_0.000188687
1165,1,0.001801096_0.941632748_0.056566179
1535,1,0.000627629_0.999035478_0.000336974
1175,1,0.009486550_0.896703839_0.093809642
2175,2,0.000214153_0.000311614_0.999474227
2455,0,0.907017648_0.067191422_0.025790915
1804,1,0.000931657_0.998804092_0.000264191
1483,1,0.086240001_0.895436347_0.018323578
1568,1,0.000096277_0.999406219_0.000497553
2128,2,0.006434728_0.052623380_0.940941870
1075,1,0.018421339_0.867967367_0.113611206
2088,2,0.076218456_0.023688348_0.900093257
1907,1,0.038266435_0.956219733_0.005513798
1597,1,0.167322278_0.723178566_0.109499097
1121,1,0.053919710_0.776064456_0.170015827
1608,1,0.024036342_0.960902333_0.015061345
1615,1,0.005002773_0.991204917_0.003792248
1180,1,0.079761945_0.897629201_0.022608776
1379,1,0.042023573_0.935248435_0.022727989
1708,1,0.008025165_0.836507440_0.155467451
2048,1,0.018344704_0.949804008_0.031851348
2245,2,0.016075071_0.052891266_0.931033671
1230,1,0.000478323_0.999203384_0.000318331
1343,1,0.151124135_0.803961158_0.044914719
2117,2,0.000120245_0.000472021_0.999407768
1589,1,0.000926876_0.997085035_0.001988115
1400,1,0.009352112_0.987746060_0.002901915
2290,2,0.011632443_0.348590702_0.639776826
1220,1,0.000274460_0.999401689_0.000323768
2313,2,0.002009098_0.013765292_0.984225631
2052,1,0.015804403_0.971099377_0.013096108
1311,1,0.058787402_0.776630819_0.164581731
1845,1,0.004486779_0.953972697_0.041540571
2046,1,0.122466356_0.873103023_0.004430576
2186,2,0.016967712_0.076979086_0.906053185
1859,1,0.000052114_0.999812067_0.000135887
1687,1,0.000660251_0.997378230_0.001961597
1473,1,0.263915062_0.575236619_0.160848379
1584,1,0.011155407_0.403287679_0.585556865
1287,1,0.001307245_0.998181462_0.000511254
1132,1,0.001016403_0.996880293_0.002103299
1940,1,0.010914281_0.955143392_0.033942424
1645,1,0.099699594_0.770043612_0.130256847
2288,2,0.006868205_0.054590393_0.938541412
2206,2,0.030659914_0.222614050_0.746726096
1939,1,0.010765512_0.890300751_0.098933764
2311,2,0.018443545_0.006933773_0.974622726
1788,1,0.000730035_0.998992145_0.000277858
2089,2,0.000817848_0.003538643_0.995643497
2211,2,0.006676759_0.033673618_0.959649563
1254,1,0.000194496_0.999481738_0.000323882
1735,1,0.000764704_0.995950580_0.003284678
1174,1,0.020750513_0.939887822_0.039361656
1552,1,0.000863828_0.998957992_0.000178109
1861,1,0.000180471_0.998270392_0.001549067
1548,1,0.002957915_0.991910756_0.005131342
1192,1,0.003387344_0.995257437_0.001355186
1454,1,0.000364188_0.997854054_0.001781737
1875,1,0.099210314_0.892754734_0.008034992
2124,2,0.110256262_0.829132855_0.060610835
1336,1,0.079709828_0.883353293_0.036936939
1503,1,0.000128786_0.999556482_0.000314744
1698,1,0.003169099_0.982561290_0.014269600
2256,2,0.013402106_0.028003350_0.958594501
2063,1,0.008027408_0.991295218_0.000677317
2433,0,0.986723125_0.008749501_0.004527275
1080,1,0.069222316_0.834920824_0.095856875
1484,1,0.052899133_0.634709120_0.312391728
1452,1,0.000606005_0.996050060_0.003343894
2463,0,0.917794704_0.036849156_0.045356087
2120,2,0.133117631_0.157058686_0.709823668
1140,1,0.000382172_0.998473823_0.001143956
1435,1,0.008218205_0.960167944_0.031613857
1813,1,0.000495924_0.998732746_0.000771352
1614,1,0.177574575_0.705439806_0.116985574
1237,1,0.000366659_0.999384046_0.000249239
2266,2,0.001528374_0.002852590_0.995618999
1358,1,0.004240970_0.879507244_0.116251752
2457,0,0.980634809_0.012462469_0.006902711
1398,1,0.000396757_0.998931825_0.000671414
1825,1,0.000301460_0.999045074_0.000653530
1770,1,0.075969987_0.609216273_0.314813793
1087,1,0.575420439_0.401079446_0.023500124
1937,1,0.007920170_0.936043024_0.056036718
1509,1,0.001472932_0.998205423_0.000321680
1042,1,0.003285539_0.991730630_0.004983853
2249,2,0.021461876_0.385502696_0.593035400
1722,1,0.089377090_0.583979964_0.326642901
1155,1,0.000133684_0.998705864_0.001160404
1641,1,0.019221444_0.582113385_0.398665190
2100,2,0.017892303_0.870386541_0.111721136
1525,1,0.000863154_0.995635331_0.003501561
1492,1,0.090529047_0.847543538_0.061927415
1693,1,0.003195793_0.357306480_0.639497697
1039,1,0.000631112_0.999288261_0.000080643
1385,1,0.124132566_0.511531353_0.364336133
2036,1,0.000303829_0.998996913_0.000699260
1575,1,0.009805974_0.980923891_0.009270210
1148,1,0.005014973_0.993977666_0.001007329
1868,1,0.016031288_0.922371984_0.061596744
1062,1,0.000045079_0.999307513_0.000647508
1857,1,0.000183280_0.999480546_0.000336256
2317,2,0.000032113_0.000118388_0.999849439
1383,1,0.022798495_0.946319640_0.030881904
1822,1,0.000428445_0.999387860_0.000183763
2321,2,0.000490749_0.002844878_0.996664345
1676,1,0.262490749_0.390459180_0.347050011
2436,0,0.974866331_0.022419520_0.002714167
1759,1,0.016366780_0.977845371_0.005787809
1113,1,0.000319175_0.999374926_0.000305965
2283,2,0.168232054_0.188196719_0.643571258
2112,2,0.000028658_0.000086179_0.999885201
1098,1,0.412678242_0.489541501_0.097780250
2177,2,0.015379870_0.050722752_0.933897376
2134,2,0.008460591_0.058791544_0.932747841
1197,1,0.000085055_0.998620510_0.001294518
1059,1,0.000570801_0.998158395_0.001270812
1716,1,0.000605150_0.996464372_0.002930448
1265,1,0.000300626_0.998968482_0.000731006
1651,1,0.142824218_0.578390956_0.278784841
1663,1,0.086790808_0.795738757_0.117470436
1996,1,0.101642489_0.719226837_0.179130673
2080,2,0.007986253_0.066692747_0.925321043
