TCR_id,labels,preds
1919,1,0.000968047_0.994477987_0.000944511_0.003609459
829,3,0.000056511_0.001192276_0.000455983_0.998295248
1596,1,0.038701255_0.934892297_0.003187148_0.023219233
1426,1,0.001409892_0.987474442_0.001949731_0.009165954
789,3,0.006575894_0.019620124_0.000712076_0.973091900
1072,1,0.007111809_0.978164434_0.003989632_0.010734083
2272,2,0.001374237_0.018194485_0.960164189_0.020267095
1108,1,0.023248548_0.932939053_0.018117547_0.025694892
1853,1,0.000237301_0.998795629_0.000293185_0.000673877
1292,1,0.011442917_0.968120337_0.000351280_0.020085396
1577,1,0.033090167_0.957304239_0.000148746_0.009456853
1057,1,0.000099898_0.998628855_0.000133787_0.001137491
1092,1,0.051213924_0.689128339_0.161162242_0.098495521
1679,1,0.061658069_0.860986412_0.029916119_0.047439411
1795,1,0.001397382_0.951049447_0.000666502_0.046886727
1497,1,0.006623244_0.730996668_0.129183754_0.133196309
1385,1,0.017033286_0.928246558_0.016055871_0.038664199
1002,3,0.002033072_0.020001056_0.001342857_0.976623058
1319,1,0.022665853_0.333057314_0.639989853_0.004287023
852,3,0.030423585_0.027337881_0.008163527_0.934074998
1165,1,0.000167000_0.993754983_0.001248657_0.004829304
1557,1,0.000944455_0.998505116_0.000144104_0.000406256
1147,1,0.002364224_0.993287385_0.003865905_0.000482369
866,3,0.017420003_0.159466222_0.002658600_0.820455194
1928,1,0.011043086_0.965992033_0.019728621_0.003236276
1202,1,0.001830451_0.940129399_0.053301703_0.004738382
1107,1,0.005247489_0.960925639_0.024219109_0.009607808
724,3,0.000243878_0.004483846_0.000249853_0.995022416
2478,0,0.999877095_0.000014954_0.000106931_0.000001092
779,3,0.002564774_0.002878871_0.000914081_0.993642211
1191,1,0.001503851_0.996986449_0.000301746_0.001207943
1649,1,0.002891395_0.908733487_0.005168655_0.083206408
1496,1,0.080240212_0.853220046_0.035636969_0.030902803
1730,1,0.003561157_0.926655293_0.006742505_0.063041002
2002,1,0.000254573_0.992514431_0.007103368_0.000127586
1658,1,0.002077256_0.988601387_0.000140326_0.009181037
2261,2,0.001441083_0.001599003_0.996724308_0.000235656
1624,1,0.000398995_0.997834623_0.000856619_0.000909807
1301,1,0.003660795_0.962609112_0.014625887_0.019104103
1077,1,0.000104985_0.999373376_0.000019960_0.000501695
1571,1,0.000705367_0.985381186_0.013300235_0.000613181
2204,2,0.003374923_0.009700934_0.980106831_0.006817227
2277,2,0.000011261_0.001033045_0.996760190_0.002195505
788,3,0.016740788_0.016326724_0.002212394_0.964720130
1442,1,0.005052658_0.983710825_0.001781303_0.009455171
1579,1,0.002936064_0.977771997_0.008358374_0.010933600
1778,1,0.010229794_0.925327897_0.007543280_0.056898993
1110,1,0.000107284_0.977942288_0.000296977_0.021653524
1146,1,0.001800939_0.909995914_0.004037441_0.084165663
1689,1,0.000226219_0.979085982_0.001920947_0.018766923
1076,1,0.002115525_0.996402144_0.000630111_0.000852303
1419,1,0.002019914_0.996733904_0.000851107_0.000395125
1370,1,0.002784638_0.923858881_0.068979010_0.004377562
932,3,0.006621912_0.009041215_0.002341745_0.981995106
873,3,0.000084589_0.003991893_0.000306255_0.995617270
1415,1,0.000105116_0.999382377_0.000231073_0.000281398
917,3,0.001466090_0.022912081_0.006926925_0.968694866
1364,1,0.000122847_0.990880013_0.000463149_0.008533935
1705,1,0.014985357_0.956798255_0.019689608_0.008526885
676,3,0.000085865_0.002952255_0.000283880_0.996677995
1709,1,0.015333373_0.958093762_0.001738440_0.024834368
1800,1,0.031942841_0.967058301_0.000200355_0.000798478
2089,2,0.002620348_0.000925224_0.996073127_0.000381231
1030,1,0.008377687_0.971040905_0.016036620_0.004544714
