TCR_id,labels,preds
2258,2,0.000000897_0.000612800_0.999322772_0.000063499
719,3,0.002698672_0.030174576_0.000263673_0.966863155
765,3,0.002431432_0.025686279_0.000973717_0.970908523
794,3,0.000074492_0.002315946_0.000437813_0.997171819
1028,1,0.000260279_0.999696136_0.000041681_0.000001909
1777,1,0.000000238_0.998499751_0.000423382_0.001076601
1220,1,0.000009336_0.999967813_0.000005549_0.000017317
937,3,0.000100612_0.017205790_0.000126489_0.982567132
1643,1,0.000016453_0.999871731_0.000014344_0.000097519
1593,1,0.000000273_0.999945164_0.000050889_0.000003694
901,3,0.000119789_0.001599976_0.029100135_0.969180167
1199,1,0.019995378_0.895469248_0.031680193_0.052855238
1311,1,0.000404928_0.998987496_0.000445427_0.000162220
667,3,0.000010180_0.006199527_0.001742011_0.992048204
716,3,0.000021781_0.002363678_0.000377950_0.997236609
1072,1,0.000106912_0.824673951_0.018007072_0.157212034
845,3,0.001089993_0.059088081_0.000695023_0.939126849
987,3,0.000045139_0.000003062_0.000001502_0.999950290
2222,2,0.000019386_0.000006569_0.999955893_0.000018111
2122,2,0.000291139_0.000154452_0.999508142_0.000046177
2270,2,0.000000004_0.000046305_0.999947906_0.000005832
2474,0,0.997040093_0.001376426_0.001523849_0.000059557
1744,1,0.000094186_0.997123182_0.000938245_0.001844444
1722,1,0.000958027_0.993242681_0.001275938_0.004523432
962,3,0.000787430_0.016415855_0.000310405_0.982486367
2045,1,0.000000016_0.999998093_0.000000153_0.000001838
1949,1,0.001127587_0.996706069_0.000840992_0.001325382
2248,2,0.001336725_0.004884658_0.993306935_0.000471755
2057,1,0.000122406_0.993693531_0.002798402_0.003385679
1520,1,0.000030433_0.999899149_0.000064333_0.000006129
1179,1,0.000000366_0.998027503_0.000264561_0.001707560
1484,1,0.020139202_0.975591421_0.003410356_0.000858947
1087,1,0.008059825_0.976097226_0.012263393_0.003579605
1767,1,0.004674186_0.989554048_0.001114255_0.004657429
1460,1,0.000021530_0.999400735_0.000553888_0.000023847
829,3,0.000562805_0.004673903_0.000761439_0.994001806
1532,1,0.000104669_0.994599223_0.001368584_0.003927510
1569,1,0.000369668_0.993172705_0.006355220_0.000102357
1766,1,0.309286088_0.677000403_0.006060995_0.007652516
1081,1,0.001573189_0.978838623_0.002009261_0.017578982
1790,1,0.000000418_0.998827875_0.000084908_0.001086689
1472,1,0.000433931_0.985227346_0.010278251_0.004060390
1211,1,0.004636473_0.994818270_0.000499776_0.000045532
2435,0,0.999644756_0.000352254_0.000001591_0.000001472
1998,1,0.010600016_0.713302255_0.130399257_0.145698428
1271,1,0.001955114_0.018451020_0.000900779_0.978693008
1665,1,0.000007953_0.999930024_0.000026563_0.000035345
833,3,0.000020410_0.010782630_0.000859303_0.988337696
2141,2,0.000019317_0.000002121_0.999880195_0.000098356
1279,1,0.000000063_0.999969482_0.000007148_0.000023268
1638,1,0.000036806_0.996740282_0.000285502_0.002937373
2476,0,0.988239646_0.008058664_0.000682905_0.003018785
1849,1,0.000052496_0.995329738_0.000159144_0.004458708
781,3,0.000044077_0.012181297_0.005781306_0.981993318
1950,1,0.006445089_0.960641623_0.009145340_0.023768025
1713,1,0.000000435_0.940990448_0.000762664_0.058246486
1380,1,0.000070104_0.994071901_0.000096642_0.005761224
1022,3,0.004582071_0.043730054_0.002834149_0.948853731
795,3,0.002309724_0.093020730_0.037170280_0.867499292
710,3,0.042313758_0.000688629_0.010198084_0.946799517
803,3,0.012519164_0.012857806_0.063104071_0.911518991
701,3,0.000093175_0.004995356_0.000236708_0.994674802
2052,1,0.000001562_0.999817550_0.000061536_0.000119406
1996,1,0.000000410_0.995586395_0.000032863_0.004380325
1408,1,0.000505913_0.687236905_0.005026714_0.307230562
1791,1,0.000000350_0.999421597_0.000086658_0.000491414
1201,1,0.000121444_0.998864532_0.000741313_0.000272710
936,3,0.000048844_0.000490344_0.000977069_0.998483717
2094,2,0.000170795_0.000894730_0.998454213_0.000480211
2053,1,0.000000022_0.999861121_0.000000463_0.000138396
1711,1,0.000814669_0.981732666_0.014625060_0.002827549
745,3,0.000002018_0.005399835_0.001634749_0.992963374
1387,1,0.000777371_0.996439993_0.002732220_0.000050452
2304,2,0.000361901_0.000496442_0.998974800_0.000166841
1291,1,0.001561845_0.997983098_0.000090005_0.000365034
1837,1,0.000088073_0.986188471_0.001000958_0.012722525
2111,2,0.000334743_0.000046714_0.999569237_0.000049354
1467,1,0.000319795_0.876445413_0.117826253_0.005408488
1726,1,0.001269162_0.990297139_0.006515048_0.001918540
2059,1,0.000391756_0.998491764_0.000557284_0.000559220
1734,1,0.000000480_0.989919424_0.000062104_0.010018055
1032,1,0.000204887_0.999488115_0.000292522_0.000014412
1238,1,0.000000069_0.999801338_0.000005549_0.000192946
2116,2,0.000312702_0.000017082_0.999639153_0.000031144
2206,2,0.000096050_0.000243203_0.999608934_0.000051804
2204,2,0.000005443_0.000358279_0.999207914_0.000428374
692,3,0.000031848_0.002237273_0.001642695_0.996088147
1541,1,0.000006659_0.999844074_0.000060637_0.000088600
2089,2,0.000072639_0.000060074_0.999784410_0.000082866
1507,1,0.000001337_0.999816954_0.000081280_0.000100506
981,3,0.000104152_0.000332120_0.000109085_0.999454677
1673,1,0.000000415_0.999582589_0.000003333_0.000413699
1020,3,0.000001144_0.013548911_0.000112777_0.986337125
1481,1,0.000999116_0.993303478_0.001909213_0.003788128
1137,1,0.000000364_0.999951005_0.000010056_0.000038625
2477,0,0.997716308_0.001508539_0.000655344_0.000119765
2095,2,0.000476564_0.004313725_0.995126963_0.000082728
1830,1,0.000016734_0.996688068_0.001536800_0.001758402
1035,1,0.000036086_0.995035052_0.001348379_0.003580633
1452,1,0.000004751_0.999811828_0.000085957_0.000097479
2115,2,0.000005008_0.000012240_0.999697208_0.000285588
2075,2,0.000002308_0.000037661_0.999940515_0.000019541
2273,2,0.000003285_0.000057640_0.999842882_0.000096151
1167,1,0.000012931_0.991675138_0.000789941_0.007522049
961,3,0.016398462_0.038533501_0.031375136_0.913692892
2281,2,0.000039398_0.000008484_0.999911904_0.000040209
1468,1,0.000206548_0.973554254_0.008026520_0.018212652
1265,1,0.000000140_0.999981046_0.000009869_0.000008994
1728,1,0.000079157_0.975214183_0.000752020_0.023954583
1293,1,0.000966928_0.995895147_0.002620673_0.000517232
2060,1,0.003680746_0.992647290_0.000949846_0.002722130
796,3,0.000013685_0.003017726_0.000604122_0.996364534
1769,1,0.000001419_0.943881392_0.012114834_0.044002242
951,3,0.000072245_0.004174612_0.000032068_0.995721102
1492,1,0.000193428_0.923438728_0.002163547_0.074204244
1545,1,0.000148670_0.991484582_0.000752212_0.007614600
2312,2,0.000006628_0.000051533_0.999829531_0.000112307
1540,1,0.045168154_0.691469431_0.067540199_0.195822239
2002,1,0.045246668_0.722283900_0.137224376_0.095245145
1832,1,0.000612281_0.945240617_0.016890151_0.037256829
1635,1,0.000025372_0.999491811_0.000457648_0.000025113
1801,1,0.000002183_0.999015450_0.000021124_0.000961251
2479,0,0.999917150_0.000044983_0.000001730_0.000036074
694,3,0.000007737_0.037274145_0.000567823_0.962150276
1938,1,0.000064971_0.879990220_0.044780917_0.075163946
2478,0,0.997673333_0.000021591_0.001946303_0.000358659
2298,2,0.000030356_0.000401971_0.998279333_0.001288328
2049,1,0.000003777_0.999983311_0.000000860_0.000012079
1086,1,0.000007764_0.994523525_0.001768742_0.003700077
1920,1,0.000003055_0.999798596_0.000050664_0.000147714
916,3,0.000172273_0.001524860_0.000053666_0.998249173
1033,1,0.000000072_0.999930024_0.000010342_0.000059508
1116,1,0.000063309_0.857493639_0.098591380_0.043851696
861,3,0.000039297_0.004275919_0.000235325_0.995449483
808,3,0.000669437_0.000323938_0.000747270_0.998259366
1751,1,0.029594172_0.962594628_0.005751122_0.002059944
958,3,0.000217914_0.584155560_0.002131277_0.413495272
2073,2,0.000001640_0.000363109_0.999567688_0.000067532
1885,1,0.000318460_0.998705149_0.000004559_0.000971787
1374,1,0.002804889_0.996330440_0.000106907_0.000757793
2123,2,0.000330621_0.000318959_0.999304652_0.000045699
1678,1,0.000009923_0.998262107_0.000074919_0.001653060
1419,1,0.000005303_0.999971271_0.000005748_0.000017810
1118,1,0.000344592_0.946870804_0.010406235_0.042378273
2314,2,0.000003652_0.000478769_0.998729527_0.000788042
1999,1,0.021523280_0.829864025_0.097647309_0.050965425
757,3,0.001901430_0.011090105_0.000261885_0.986746609
1289,1,0.012758299_0.956284046_0.030359583_0.000598000
2463,0,0.999717414_0.000060343_0.000220696_0.000001516
1755,1,0.000052567_0.997484565_0.000123679_0.002339237
2316,2,0.000864707_0.000030200_0.999070585_0.000034566
1058,1,0.000032168_0.999860764_0.000086414_0.000020562
2003,1,0.000000709_0.987541497_0.005248703_0.007209026
1111,1,0.000797221_0.997596085_0.001016653_0.000589926
905,3,0.004560048_0.013763404_0.005232056_0.976444483
1298,1,0.000015889_0.990016282_0.001596559_0.008371162
1770,1,0.000998128_0.973044872_0.023956724_0.002000224
1716,1,0.000000476_0.997102320_0.000122651_0.002774502
1988,1,0.000115103_0.999849319_0.000014300_0.000021264
914,3,0.000457045_0.028950553_0.001024398_0.969567955
1788,1,0.000004932_0.998808503_0.000296396_0.000890240
827,3,0.000031094_0.029990258_0.010778296_0.959200323
1953,1,0.026414497_0.890523195_0.016567970_0.066494405
1547,1,0.000000019_0.999971390_0.000001119_0.000027521
967,3,0.000495854_0.013437055_0.000298170_0.985768974
1261,1,0.001321802_0.995230973_0.000672399_0.002774738
659,3,0.000092349_0.000265349_0.000012987_0.999629259
2090,2,0.000037944_0.000103763_0.999769390_0.000088859
1810,1,0.000044817_0.998936594_0.000313373_0.000705207
1697,1,0.000012355_0.996914983_0.000104190_0.002968477
1613,1,0.000001254_0.999936819_0.000049941_0.000011915
900,3,0.000237878_0.012686646_0.001045745_0.986029685
1561,1,0.000166368_0.998844266_0.000549821_0.000439538
966,3,0.000563626_0.007007721_0.000151873_0.992276847
2453,0,0.999412537_0.000132747_0.000380948_0.000073692
699,3,0.002024132_0.004002836_0.000785892_0.993187189
2261,2,0.000000215_0.000029640_0.999939322_0.000030873
1155,1,0.000000197_0.999975443_0.000007590_0.000016693
911,3,0.000009960_0.021690525_0.005353210_0.972946346
1945,1,0.000217914_0.584155560_0.002131277_0.413495272
717,3,0.000472953_0.001178946_0.012385076_0.985963047
2276,2,0.000009275_0.000023391_0.999918699_0.000048692
860,3,0.000045782_0.021857128_0.000022959_0.978074074
711,3,0.000748380_0.002954113_0.006122815_0.990174651
1478,1,0.003872164_0.994980514_0.000044933_0.001102312
1031,1,0.000000279_0.999979496_0.000001358_0.000018947
956,3,0.000042292_0.005874287_0.008884342_0.985199153
738,3,0.000030867_0.000786014_0.006093341_0.993089855
727,3,0.004052596_0.024531472_0.000405555_0.971010387
2162,2,0.000009907_0.000026794_0.999301553_0.000661795
1258,1,0.000000749_0.999955297_0.000024951_0.000019062
2030,1,0.000000000_0.999999166_0.000000040_0.000000816
2083,2,0.000003220_0.000027569_0.999958515_0.000010766
1080,1,0.000514057_0.997551143_0.000760082_0.001174611
1629,1,0.000460339_0.968932331_0.000661825_0.029945578
768,3,0.000016347_0.009999608_0.000907451_0.989076614
2297,2,0.000109697_0.001056761_0.997091532_0.001741914
