TCR_id,labels,preds
1138,1,0.000000006_0.999938130_0.000058060_0.000003855
2237,2,0.000000181_0.000005148_0.999982119_0.000012495
2316,2,0.000000911_0.000000486_0.999998450_0.000000138
1858,1,0.000000001_0.999965191_0.000004772_0.000030086
2280,2,0.000000872_0.000014628_0.999977231_0.000007232
2034,1,0.000000003_0.999999642_0.000000005_0.000000317
1937,1,0.000092099_0.995848417_0.000367396_0.003692033
843,3,0.000003479_0.000100506_0.000024076_0.999871969
1914,1,0.000000822_0.999958277_0.000006988_0.000033854
1840,1,0.000023752_0.992157102_0.001634776_0.006184315
1302,1,0.000404894_0.993314445_0.000914142_0.005366530
1115,1,0.000000405_0.999990821_0.000004749_0.000004026
2275,2,0.000000199_0.000001218_0.999998331_0.000000295
1992,1,0.000000001_0.999999523_0.000000010_0.000000526
1020,3,0.000004069_0.000702462_0.000019498_0.999273956
2308,2,0.000000155_0.000009497_0.999986410_0.000003948
2432,0,1.000000000_0.000000000_0.000000003_0.000000000
1708,1,0.000000065_0.998428524_0.000259821_0.001311514
1783,1,0.000000005_0.999979377_0.000012815_0.000007763
782,3,0.000000260_0.000010235_0.000000253_0.999989271
854,3,0.000004335_0.000044113_0.000038159_0.999913335
2281,2,0.000110688_0.000008247_0.999868989_0.000012077
1514,1,0.000000000_0.999994755_0.000000002_0.000005192
1095,1,0.000004529_0.998606384_0.000047431_0.001341780
1552,1,0.000000000_0.999999762_0.000000043_0.000000295
2247,2,0.000004747_0.000000194_0.999966621_0.000028539
1442,1,0.000002266_0.999667168_0.000000244_0.000330314
671,3,0.000272182_0.000302464_0.000049770_0.999375641
1806,1,0.000000000_0.999999642_0.000000029_0.000000327
1278,1,0.000000003_0.999999642_0.000000016_0.000000322
2310,2,0.000000227_0.000212999_0.999780834_0.000005922
1071,1,0.003560710_0.995504200_0.000606437_0.000328757
1839,1,0.000508830_0.993852019_0.001883789_0.003755341
2079,2,0.000000005_0.000040390_0.999942899_0.000016691
776,3,0.000000749_0.001271098_0.000070158_0.998657942
1643,1,0.000000021_0.999935985_0.000018755_0.000045241
1200,1,0.000001164_0.999731481_0.000104366_0.000162883
989,3,0.000000270_0.000083412_0.000038731_0.999877572
2151,2,0.000000794_0.000021299_0.999940157_0.000037813
1577,1,0.000001197_0.999991298_0.000000014_0.000007568
1367,1,0.000008514_0.999991059_0.000000150_0.000000303
1197,1,0.000000002_0.999996424_0.000002776_0.000000865
1441,1,0.000000138_0.999995589_0.000004171_0.000000080
1220,1,0.000000193_0.999998093_0.000000077_0.000001541
1173,1,0.000000001_0.999999762_0.000000053_0.000000272
1450,1,0.000001184_0.999982238_0.000009351_0.000007286
1684,1,0.000000119_0.999999762_0.000000024_0.000000170
2224,2,0.000001522_0.000045499_0.998838127_0.001114802
755,3,0.000000033_0.000006429_0.000000634_0.999992847
914,3,0.000000063_0.000870068_0.000374661_0.998755217
1564,1,0.000000013_0.999996901_0.000000551_0.000002555
1198,1,0.000000004_0.999990463_0.000007469_0.000002001
2122,2,0.000000211_0.000003504_0.999995828_0.000000454
2115,2,0.000000314_0.000000337_0.999972463_0.000026945
1925,1,0.000016794_0.999981165_0.000000099_0.000001913
1995,1,0.000000138_0.999995947_0.000000134_0.000003846
2211,2,0.000112582_0.000001958_0.999885082_0.000000410
2141,2,0.000000011_0.000000126_0.999999642_0.000000197
1150,1,0.000000001_0.999995947_0.000000005_0.000004016
1951,1,0.000108179_0.996351600_0.003321889_0.000218296
884,3,0.000075448_0.003560096_0.000542657_0.995821834
